,name,image,B,C,H,W,birthday,dmmimage,height
0,愛あいり,https://images16.wav.tv/113/5abe2ece96cda7.jpg,110,I,90,61,1984-07-23,http://pics.dmm.co.jp/mono/actjpgs/ai_airi.jpg,172
1,相内しおり,https://images16.wav.tv/689/0213d2783a166647.jpg,85,D,88,58,1990-11-06,http://pics.dmm.co.jp/mono/actjpgs/aiuti_siori.jpg,161
2,愛内希,https://images16.wav.tv/115/5afba14c3a91f2.jpg,80,C,83,57,1992-07-03,http://pics.dmm.co.jp/mono/actjpgs/aiuti_nozomi.jpg,162
3,愛内萌,https://images15.wav.tv/114/5afba3c795478e.jpg,,,,,,,
4,愛内ゆう,https://images16.wav.tv/113/5afba5d5daaf8a.jpg,85,I,86,57,,http://pics.dmm.co.jp/mono/actjpgs/aiuti_yuu.jpg,160
5,愛内梨花,https://images16.wav.tv/692/022b3d56fc8f6b6c.jpg,85,E,85,60,1988-03-27,http://pics.dmm.co.jp/mono/actjpgs/aiuti_rinka.jpg,164
6,相内リカ,https://images16.wav.tv/115/64339b1f669f39.jpg,96,H,87,61,1987-12-11,http://pics.dmm.co.jp/mono/actjpgs/aiuti_rika.jpg,156
7,相浦茉莉花,https://images16.wav.tv/692/05db4207d7149010.jpg,75,B,80,55,,http://pics.dmm.co.jp/mono/actjpgs/aiura_marika.jpg,154
8,AIKA,https://images15.wav.tv/690/02621628b44b6a8b.jpg,,,,,,,
9,藍花,https://images15.wav.tv/115/5ae93d6b0b651b.jpg,,,,,,,
10,愛花沙也,https://images15.wav.tv/115/c8746984b546da.jpg,80,D,85,59,1989-12-18,http://pics.dmm.co.jp/mono/actjpgs/aika_saya.jpg,155
11,あいか瞬,https://images16.wav.tv/115/5aaf85a496fbae.jpg,87,G,86,59,1984-12-08,http://pics.dmm.co.jp/mono/actjpgs/aika_syun.jpg,162
12,愛華みれい,https://images15.wav.tv/114/0152b555ac5f826c.jpg,,,,,,,
13,愛可ゆきの,https://images15.wav.tv/114/5ae93ff562b9f8.jpg,,,,,,,
14,あいかりん,https://images15.wav.tv/115/5afbafbb6b3f9d.jpg,,,,,,,
